0,1,2,3,4,5,6,7,8,9,10,11,12,etiqueta
-160.00688,145.03944,-22.35207,5.045579,-9.666919,-27.070408,-0.18848708,1.3501523,-20.237232,-20.8298,-27.962194,-19.854279,-17.069221,cuatro
-148.81499,130.61401,-8.963395,17.909266,-15.190669,-30.845736,-3.5489304,6.7510176,-26.469267,-24.923843,-21.994343,-28.431189,-10.348408,cuatro
-204.72269,164.07523,-2.7482493,23.405788,-5.688759,-38.358482,2.4306524,16.031668,-17.786001,-21.731985,-23.920706,-23.792963,-19.089067,cuatro
-193.16652,162.274,-18.704308,8.808288,1.0728168,-9.0049925,6.913813,14.024674,-12.9867325,-24.309158,-15.64955,-4.5034757,-0.60798717,cuatro
-210.19815,167.01134,-15.156443,2.0511572,-7.37228,-19.11182,-2.309061,4.5462646,-21.50668,-24.685217,-20.623186,-16.176355,-9.289724,cuatro
-154.40079,132.21306,-7.1208153,10.362957,-22.80426,-33.81228,0.4568408,5.396876,-32.183662,-28.234047,-26.640049,-25.800976,-1.7356384,cuatro
-157.74176,142.65894,-18.003765,5.658034,-15.761969,-27.11044,-3.2089143,-1.1189208,-20.588919,-24.106932,-25.36916,-20.577211,-14.553641,cuatro
-157.98308,137.39525,-9.374468,7.603381,-17.128716,-28.80793,-6.0669136,3.9260387,-24.069286,-25.992222,-29.96828,-22.928846,-6.423921,cuatro
-173.58919,134.72725,-8.329349,8.465639,-19.374138,-30.563803,-2.3946178,6.171812,-31.332016,-30.479826,-25.768478,-23.106583,-1.673713,cuatro
-180.91476,135.15019,-14.545483,7.9564185,-22.761534,-31.747131,3.5158985,6.174788,-31.371807,-27.74097,-28.663239,-25.092243,-0.30759025,cuatro
-168.4813,111.73066,-1.9460269,11.580535,-41.777794,-23.832907,11.162133,5.0255456,-33.359272,-40.859097,-21.505857,-22.058361,-11.200274,dos
-182.34254,123.72717,15.304337,18.317722,-38.064568,-27.366442,3.3090699,10.323218,-33.141735,-34.040005,-26.659649,-30.361877,-0.18453738,dos
